hidden_units,dropout_rate,learning_rate,batch_size,val_auc,val_f1,epochs
"(128, 64)",0.4,0.0005,16,0.8460528654290469,0.6282527881040892,20
"(64, 32)",0.4,0.0001,32,0.8448734105633917,0.6275862068965518,50
"(64, 32)",0.2,0.001,16,0.8473090656455495,0.6270270270270271,11
"(256, 128)",0.3,0.001,16,0.8437747402775759,0.6267123287671232,7
"(128, 64)",0.2,0.0005,64,0.8456408640718661,0.625,18
"(128, 64)",0.4,0.0001,64,0.8393800591343125,0.6243567753001715,50
"(64, 32)",0.4,0.0005,16,0.8465981613429628,0.6240875912408759,18
"(64, 32)",0.2,0.001,64,0.8460528654290469,0.6229508196721312,11
"(128, 64)",0.4,0.001,32,0.8472323202947021,0.6229508196721312,11
"(64, 32)",0.2,0.0005,64,0.8434152488972906,0.6225402504472272,41
"(64, 32)",0.3,0.0005,32,0.8435283473090657,0.6213235294117647,25
"(128, 64)",0.4,0.001,64,0.84509556815795,0.6211849192100538,20
"(128, 64)",0.3,0.0001,32,0.8496437400029083,0.6187845303867403,50
"(256, 128)",0.4,0.0005,16,0.8477654985216423,0.6177474402730375,11
"(128, 64)",0.3,0.001,32,0.8447966652125443,0.617059891107078,12
"(256, 128)",0.2,0.001,32,0.8470909472799834,0.6167557932263814,12
"(64, 32)",0.4,0.0005,32,0.848072479925032,0.6162361623616236,42
"(256, 128)",0.4,0.0005,64,0.8470990257379671,0.6148282097649186,21
"(128, 64)",0.2,0.001,64,0.8421226956198601,0.6148148148148148,14
"(128, 64)",0.3,0.0005,64,0.8454671772252113,0.6145251396648045,14
"(128, 64)",0.4,0.0005,32,0.8457903155445688,0.6142322097378277,15
"(64, 32)",0.3,0.0005,16,0.8451763527377893,0.6142322097378277,16
"(256, 128)",0.4,0.001,16,0.8446795275717771,0.6140035906642729,9
"(128, 64)",0.3,0.0001,64,0.8427366584266396,0.6134301270417423,50
"(64, 32)",0.3,0.0005,64,0.8444048600003231,0.6133333333333333,25
"(256, 128)",0.3,0.0001,64,0.8447926259835522,0.6129032258064516,36
"(64, 32)",0.3,0.0001,64,0.8464406314122761,0.6125461254612546,50
"(64, 32)",0.2,0.0005,32,0.8465254552211074,0.6123188405797102,37
"(256, 128)",0.2,0.0005,64,0.842672030762768,0.6123188405797102,12
"(256, 128)",0.4,0.0001,32,0.8463275330005009,0.6121739130434782,35
"(64, 32)",0.3,0.0001,32,0.8457580017126332,0.6117216117216118,44
"(128, 64)",0.3,0.001,16,0.8471111434249431,0.6115107913669064,10
"(128, 64)",0.2,0.001,16,0.8433102289434993,0.6112115732368897,13
"(256, 128)",0.3,0.0005,32,0.8461538461538463,0.6104868913857678,18
"(128, 64)",0.4,0.001,16,0.8491913463558076,0.6102941176470589,16
"(256, 128)",0.2,0.0005,32,0.841452183607193,0.609981515711645,10
"(64, 32)",0.4,0.001,16,0.8461215323219105,0.609981515711645,17
"(64, 32)",0.3,0.001,64,0.8482461667716866,0.6093457943925233,18
"(256, 128)",0.2,0.0005,16,0.8412340652416267,0.6086956521739131,14
"(256, 128)",0.2,0.001,64,0.8407291616176306,0.6086956521739131,11
"(256, 128)",0.2,0.0001,64,0.8392790784095131,0.6086956521739131,43
"(128, 64)",0.3,0.0001,16,0.8456812563617856,0.608534322820037,50
"(64, 32)",0.2,0.001,32,0.8447320375486728,0.608534322820037,19
"(256, 128)",0.4,0.001,64,0.8468122404795373,0.6083788706739527,22
"(64, 32)",0.3,0.001,16,0.8478987930783772,0.6078799249530957,20
"(64, 32)",0.3,0.0001,16,0.8447562729226246,0.6078799249530957,37
"(256, 128)",0.3,0.001,32,0.8462023169017499,0.6077348066298343,13
"(128, 64)",0.3,0.001,64,0.8425548931220008,0.6074074074074074,15
"(128, 64)",0.2,0.0005,16,0.8388024493884607,0.6072106261859582,10
"(64, 32)",0.2,0.0005,16,0.8457297271096893,0.6064981949458483,12
"(64, 32)",0.4,0.001,64,0.8444614092062108,0.6064030131826742,17
"(256, 128)",0.4,0.0001,64,0.8457458840256573,0.6062846580406654,45
"(128, 64)",0.2,0.0005,32,0.8436939556977364,0.6056074766355141,22
"(256, 128)",0.3,0.0005,64,0.8474827524922044,0.6051660516605166,14
"(256, 128)",0.2,0.0001,16,0.8431930913027322,0.6046511627906976,15
"(64, 32)",0.2,0.0001,32,0.8406241416638393,0.6043956043956044,44
"(128, 64)",0.2,0.0001,32,0.8471474964858707,0.6036363636363636,30
"(64, 32)",0.4,0.0001,64,0.8425104616030892,0.6025878003696857,50
"(128, 64)",0.3,0.0005,32,0.8449299597692792,0.6018691588785047,27
"(256, 128)",0.2,0.0001,32,0.8369928748000582,0.6014760147601476,25
"(256, 128)",0.3,0.0001,32,0.8415733604769522,0.6014492753623188,34
"(128, 64)",0.4,0.0001,16,0.8429184237312781,0.6010928961748634,25
"(64, 32)",0.3,0.001,32,0.8468809073724007,0.6007604562737643,23
"(128, 64)",0.4,0.0005,64,0.848722795792739,0.6003824091778203,20
"(256, 128)",0.4,0.001,32,0.8432456012796278,0.600375234521576,9
"(128, 64)",0.2,0.001,32,0.8414723797521528,0.600375234521576,11
"(64, 32)",0.2,0.0001,64,0.8373766015542954,0.6,50
"(128, 64)",0.2,0.0001,16,0.8451319212188778,0.5988700564971752,21
"(256, 128)",0.2,0.001,16,0.847652400109867,0.5988700564971752,8
"(256, 128)",0.3,0.0005,16,0.8434758373321701,0.5985130111524164,12
"(128, 64)",0.2,0.0001,64,0.8433142681724912,0.5966228893058161,45
"(256, 128)",0.3,0.001,64,0.8408059069684779,0.5958254269449715,21
"(64, 32)",0.4,0.0005,64,0.84536215727142,0.5957446808510638,50
"(256, 128)",0.4,0.0001,16,0.8428739922123666,0.5955882352941176,21
"(256, 128)",0.4,0.0005,32,0.8450511366390383,0.5955056179775281,10
"(64, 32)",0.2,0.0001,16,0.8459074531853359,0.5889101338432122,36
